"portnum","prot","ipproto","name","description"
45,17,"udp","mpm","Message Processing Module [recv]"
46,6,"tcp","mpm-snd","MPM [default send]"
46,17,"udp","mpm-snd","MPM [default send]"
47,6,"tcp","ni-ftp","NI FTP"
47,17,"udp","ni-ftp","NI FTP"
48,6,"tcp","auditd","Digital Audit Daemon"
48,17,"udp","auditd","Digital Audit Daemon"
49,6,"tcp","tacacs","Login Host Protocol (TACACS)"
49,17,"udp","tacacs","Login Host Protocol (TACACS)"
50,6,"tcp","re-mail-ck","Remote Mail Checking Protocol"
50,17,"udp","re-mail-ck","Remote Mail Checking Protocol"
52,6,"tcp","xns-time","XNS Time Protocol"
52,17,"udp","xns-time","XNS Time Protocol"
53,6,"tcp","domain","Domain Name Server"
53,17,"udp","domain","Domain Name Server"
54,6,"tcp","xns-ch","XNS Clearinghouse"
54,17,"udp","xns-ch","XNS Clearinghouse"
55,6,"tcp","isi-gl","ISI Graphics Language"
55,17,"udp","isi-gl","ISI Graphics Language"
56,6,"tcp","xns-auth","XNS Authentication"
56,17,"udp","xns-auth","XNS Authentication"
57,6,"tcp","","any private terminal access"
57,17,"udp","","any private terminal access"
58,6,"tcp","xns-mail","XNS Mail"
58,17,"udp","xns-mail","XNS Mail"
59,6,"tcp","","any private file service"
59,17,"udp","","any private file service"
61,6,"tcp","ni-mail","NI MAIL"
61,17,"udp","ni-mail","NI MAIL"
62,6,"tcp","acas","ACA Services"
62,17,"udp","acas","ACA Services"
63,6,"tcp","whoispp","whois++
IANA assigned this well-formed service name as a replacement for ""whois++""."
63,6,"tcp","whois++","whois++"
63,17,"udp","whoispp","whois++
IANA assigned this well-formed service name as a replacement for ""whois++""."
63,17,"udp","whois++","whois++"
64,6,"tcp","covia","Communications Integrator (CI)"
64,17,"udp","covia","Communications Integrator (CI)"
65,6,"tcp","tacacs-ds","TACACS-Database Service"
65,17,"udp","tacacs-ds","TACACS-Database Service"
66,6,"tcp","sql-net","Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net""."
66,6,"tcp","sql*net","Oracle SQL*NET"
66,17,"udp","sql-net","Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net""."
66,17,"udp","sql*net","Oracle SQL*NET"
67,6,"tcp","bootps","Bootstrap Protocol Server"
67,17,"udp","bootps","Bootstrap Protocol Server"
68,6,"tcp","bootpc","Bootstrap Protocol Client"
68,17,"udp","bootpc","Bootstrap Protocol Client"
69,6,"tcp","tftp","Trivial File Transfer"
69,17,"udp","tftp","Trivial File Transfer"
70,6,"tcp","gopher","Gopher"
70,17,"udp","gopher","Gopher"
71,6,"tcp","netrjs-1","Remote Job Service"
71,17,"udp","netrjs-1","Remote Job Service"
72,6,"tcp","netrjs-2","Remote Job Service"
72,17,"udp","netrjs-2","Remote Job Service"
73,6,"tcp","netrjs-3","Remote Job Service"
73,17,"udp","netrjs-3","Remote Job Service"
74,6,"tcp","netrjs-4","Remote Job Service"
74,17,"udp","netrjs-4","Remote Job Service"
75,6,"tcp","","any private dial out service"
75,17,"udp","","any private dial out service"
76,6,"tcp","deos","Distributed External Object Store"
76,17,"udp","deos","Distributed External Object Store"
77,6,"tcp","","any private RJE service"
77,17,"udp","","any private RJE service"
78,6,"tcp","vettcp","vettcp"
78,17,"udp","vettcp","vettcp"
79,6,"tcp","finger","Finger"
79,17,"udp","finger","Finger"
80,6,"tcp","http","World Wide Web HTTP"
80,17,"udp","http","World Wide Web HTTP"
80,6,"tcp","www","World Wide Web HTTP"
80,17,"udp","www","World Wide Web HTTP"
80,6,"tcp","www-http","World Wide Web HTTP"
80,17,"udp","www-http","World Wide Web HTTP"
80,132,"sctp","http","HTTP"
82,6,"tcp","xfer","XFER Utility"
82,17,"udp","xfer","XFER Utility"
83,6,"tcp","mit-ml-dev","MIT ML Device"
83,17,"udp","mit-ml-dev","MIT ML Device"
84,6,"tcp","ctf","Common Trace Facility"
84,17,"udp","ctf","Common Trace Facility"
85,6,"tcp","mit-ml-dev","MIT ML Device"
85,17,"udp","mit-ml-dev","MIT ML Device"
86,6,"tcp","mfcobol","Micro Focus Cobol"
86,17,"udp","mfcobol","Micro Focus Cobol"
87,6,"tcp","","any private terminal link"
87,17,"udp","","any private terminal link"
88,6,"tcp","kerberos","Kerberos"
88,17,"udp","kerberos","Kerberos"
89,6,"tcp","su-mit-tg","SU/MIT Telnet Gateway"
89,17,"udp","su-mit-tg","SU/MIT Telnet Gateway"
90,6,"tcp","dnsix","DNSIX Securit Attribute Token Map"
90,17,"udp","dnsix","DNSIX Securit Attribute Token Map"
91,6,"tcp","mit-dov","MIT Dover Spooler"
91,17,"udp","mit-dov","MIT Dover Spooler"
92,6,"tcp","npp","Network Printing Protocol"
92,17,"udp","npp","Network Printing Protocol"
93,6,"tcp","dcp","Device Control Protocol"
93,17,"udp","dcp","Device Control Protocol"
94,6,"tcp","objcall","Tivoli Object Dispatcher"
94,17,"udp","objcall","Tivoli Object Dispatcher"
95,6,"tcp","supdup","SUPDUP"
95,17,"udp","supdup","SUPDUP"
96,6,"tcp","dixie","DIXIE Protocol Specification"
96,17,"udp","dixie","DIXIE Protocol Specification"
97,6,"tcp","swift-rvf","Swift Remote Virtural File Protocol"
97,17,"udp","swift-rvf","Swift Remote Virtural File Protocol"
98,6,"tcp","tacnews","TAC News"
98,17,"udp","tacnews","TAC News"
99,6,"tcp","metagram","Metagram Relay"
99,17,"udp","metagram","Metagram Relay"
101,6,"tcp","hostname","NIC Host Name Server"
101,17,"udp","hostname","NIC Host Name Server"
102,6,"tcp","iso-tsap","ISO-TSAP Class 0"
102,17,"udp","iso-tsap","ISO-TSAP Class 0"
103,6,"tcp","gppitnp","Genesis Point-to-Point Trans Net"
103,17,"udp","gppitnp","Genesis Point-to-Point Trans Net"
104,6,"tcp","acr-nema","ACR-NEMA Digital Imag. & Comm. 300"
104,17,"udp","acr-nema","ACR-NEMA Digital Imag. & Comm. 300"
105,6,"tcp","cso","CCSO name server protocol"
105,17,"udp","cso","CCSO name server protocol"
105,6,"tcp","csnet-ns","Mailbox Name Nameserver"
105,17,"udp","csnet-ns","Mailbox Name Nameserver"
106,6,"tcp","3com-tsmux","3COM-TSMUX"
106,17,"udp","3com-tsmux","3COM-TSMUX"
107,6,"tcp","rtelnet","Remote Telnet Service"
107,17,"udp","rtelnet","Remote Telnet Service"
108,6,"tcp","snagas","SNA Gateway Access Server"
108,17,"udp","snagas","SNA Gateway Access Server"
109,6,"tcp","pop2","Post Office Protocol - Version 2"
109,17,"udp","pop2","Post Office Protocol - Version 2"
110,6,"tcp","pop3","Post Office Protocol - Version 3"
110,17,"udp","pop3","Post Office Protocol - Version 3"
111,6,"tcp","sunrpc","SUN Remote Procedure Call"
111,17,"udp","sunrpc","SUN Remote Procedure Call"
112,6,"tcp","mcidas","McIDAS Data Transmission Protocol"
112,17,"udp","mcidas","McIDAS Data Transmission Protocol"
113,6,"tcp","ident",""
113,6,"tcp","auth","Authentication Service"
113,17,"udp","auth","Authentication Service"
115,6,"tcp","sftp","Simple File Transfer Protocol"
115,17,"udp","sftp","Simple File Transfer Protocol"
116,6,"tcp","ansanotify","ANSA REX Notify"
116,17,"udp","ansanotify","ANSA REX Notify"
117,6,"tcp","uucp-path","UUCP Path Service"
117,17,"udp","uucp-path","UUCP Path Service"
118,6,"tcp","sqlserv","SQL Services"
118,17,"udp","sqlserv","SQL Services"
119,6,"tcp","nntp","Network News Transfer Protocol"
119,17,"udp","nntp","Network News Transfer Protocol"
120,6,"tcp","cfdptkt","CFDPTKT"
120,17,"udp","cfdptkt","CFDPTKT"
121,6,"tcp","erpc","Encore Expedited Remote Pro.Call"
121,17,"udp","erpc","Encore Expedited Remote Pro.Call"
122,6,"tcp","smakynet","SMAKYNET"
122,17,"udp","smakynet","SMAKYNET"
123,6,"tcp","ntp","Network Time Protocol"
123,17,"udp","ntp","Network Time Protocol"
124,6,"tcp","ansatrader","ANSA REX Trader"
124,17,"udp","ansatrader","ANSA REX Trader"
125,6,"tcp","locus-map","Locus PC-Interface Net Map Ser"
125,17,"udp","locus-map","Locus PC-Interface Net Map Ser"
126,6,"tcp","nxedit","NXEdit"
126,17,"udp","nxedit","NXEdit"
127,6,"tcp","locus-con","Locus PC-Interface Conn Server"
127,17,"udp","locus-con","Locus PC-Interface Conn Server"
128,6,"tcp","gss-xlicen","GSS X License Verification"
128,17,"udp","gss-xlicen","GSS X License Verification"
129,6,"tcp","pwdgen","Password Generator Protocol"
129,17,"udp","pwdgen","Password Generator Protocol"
130,6,"tcp","cisco-fna","cisco FNATIVE"
130,17,"udp","cisco-fna","cisco FNATIVE"
131,6,"tcp","cisco-tna","cisco TNATIVE"
131,17,"udp","cisco-tna","cisco TNATIVE"
132,6,"tcp","cisco-sys","cisco SYSMAINT"
132,17,"udp","cisco-sys","cisco SYSMAINT"
133,6,"tcp","statsrv","Statistics Service"
133,17,"udp","statsrv","Statistics Service"
134,6,"tcp","ingres-net","INGRES-NET Service"
134,17,"udp","ingres-net","INGRES-NET Service"
135,6,"tcp","epmap","DCE endpoint resolution"
135,17,"udp","epmap","DCE endpoint resolution"
136,6,"tcp","profile","PROFILE Naming System"
136,17,"udp","profile","PROFILE Naming System"
137,6,"tcp","netbios-ns","NETBIOS Name Service"
137,17,"udp","netbios-ns","NETBIOS Name Service"
138,6,"tcp","netbios-dgm","NETBIOS Datagram Service"
138,17,"udp","netbios-dgm","NETBIOS Datagram Service"
139,6,"tcp","netbios-ssn","NETBIOS Session Service"
139,17,"udp","netbios-ssn","NETBIOS Session Service"
140,6,"tcp","emfis-data","EMFIS Data Service"
140,17,"udp","emfis-data","EMFIS Data Service"
141,6,"tcp","emfis-cntl","EMFIS Control Service"
141,17,"udp","emfis-cntl","EMFIS Control Service"
142,6,"tcp","bl-idm","Britton-Lee IDM"
142,17,"udp","bl-idm","Britton-Lee IDM"
143,6,"tcp","imap","Internet Message Access Protocol"
143,17,"udp","imap","Internet Message Access Protocol"
144,6,"tcp","uma","Universal Management Architecture"
144,17,"udp","uma","Universal Management Architecture"
145,6,"tcp","uaac","UAAC Protocol"
145,17,"udp","uaac","UAAC Protocol"
146,6,"tcp","iso-tp0","ISO-IP0"
146,17,"udp","iso-tp0","ISO-IP0"
147,6,"tcp","iso-ip","ISO-IP"
147,17,"udp","iso-ip","ISO-IP"
148,6,"tcp","jargon","Jargon"
148,17,"udp","jargon","Jargon"
149,6,"tcp","aed-512","AED 512 Emulation Service"
149,17,"udp","aed-512","AED 512 Emulation Service"
150,6,"tcp","sql-net","SQL-NET"
150,17,"udp","sql-net","SQL-NET"
151,6,"tcp","hems","HEMS"
151,17,"udp","hems","HEMS"
152,6,"tcp","bftp","Background File Transfer Program"
152,17,"udp","bftp","Background File Transfer Program"
153,6,"tcp","sgmp","SGMP"
153,17,"udp","sgmp","SGMP"
154,6,"tcp","netsc-prod","NETSC"
154,17,"udp","netsc-prod","NETSC"
155,6,"tcp","netsc-dev","NETSC"
155,17,"udp","netsc-dev","NETSC"
156,6,"tcp","sqlsrv","SQL Service"
156,17,"udp","sqlsrv","SQL Service"
157,6,"tcp","knet-cmp","KNET/VM Command/Message Protocol"
157,17,"udp","knet-cmp","KNET/VM Command/Message Protocol"
158,6,"tcp","pcmail-srv","PCMail Server"
158,17,"udp","pcmail-srv","PCMail Server"
159,6,"tcp","nss-routing","NSS-Routing"
159,17,"udp","nss-routing","NSS-Routing"
160,6,"tcp","sgmp-traps","SGMP-TRAPS"
160,17,"udp","sgmp-traps","SGMP-TRAPS"
161,6,"tcp","snmp","SNMP"
161,17,"udp","snmp","SNMP"
162,6,"tcp","snmptrap","SNMPTRAP"
162,17,"udp","snmptrap","SNMPTRAP"
163,6,"tcp","cmip-man","CMIP/TCP Manager"
163,17,"udp","cmip-man","CMIP/TCP Manager"
164,6,"tcp","cmip-agent","CMIP/TCP Agent"
164,17,"udp","cmip-agent","CMIP/TCP Agent"
165,6,"tcp","xns-courier","Xerox"
165,17,"udp","xns-courier","Xerox"
166,6,"tcp","s-net","Sirius Systems"
166,17,"udp","s-net","Sirius Systems"
167,6,"tcp","namp","NAMP"
167,17,"udp","namp","NAMP"
168,6,"tcp","rsvd","RSVD"
168,17,"udp","rsvd","RSVD"
169,6,"tcp","send","SEND"
169,17,"udp","send","SEND"
170,6,"tcp","print-srv","Network PostScript"
170,17,"udp","print-srv","Network PostScript"
171,6,"tcp","multiplex","Network Innovations Multiplex"
171,17,"udp","multiplex","Network Innovations Multiplex"
172,6,"tcp","cl-1","Network Innovations CL/1
IANA assigned this well-formed service name as a replacement for ""cl/1""."
172,6,"tcp","cl/1","Network Innovations CL/1"
172,17,"udp","cl-1","Network Innovations CL/1
IANA assigned this well-formed service name as a replacement for ""cl/1""."
172,17,"udp","cl/1","Network Innovations CL/1"
173,6,"tcp","xyplex-mux","Xyplex"
173,17,"udp","xyplex-mux","Xyplex"
174,6,"tcp","mailq","MAILQ"
174,17,"udp","mailq","MAILQ"
175,6,"tcp","vmnet","VMNET"
175,17,"udp","vmnet","VMNET"
176,6,"tcp","genrad-mux","GENRAD-MUX"
176,17,"udp","genrad-mux","GENRAD-MUX"
177,6,"tcp","xdmcp","X Display Manager Control Protocol"
177,17,"udp","xdmcp","X Display Manager Control Protocol"
178,6,"tcp","nextstep","NextStep Window Server"
178,17,"udp","nextstep","NextStep Window Server"
179,6,"tcp","bgp","Border Gateway Protocol"
179,17,"udp","bgp","Border Gateway Protocol"
179,132,"sctp","bgp","BGP"
180,6,"tcp","ris","Intergraph"
180,17,"udp","ris","Intergraph"
181,6,"tcp","unify","Unify"
181,17,"udp","unify","Unify"
182,6,"tcp","audit","Unisys Audit SITP"
182,17,"udp","audit","Unisys Audit SITP"
183,6,"tcp","ocbinder","OCBinder"
183,17,"udp","ocbinder","OCBinder"
184,6,"tcp","ocserver","OCServer"
184,17,"udp","ocserver","OCServer"
185,6,"tcp","remote-kis","Remote-KIS"
185,17,"udp","remote-kis","Remote-KIS"
186,6,"tcp","kis","KIS Protocol"
186,17,"udp","kis","KIS Protocol"
187,6,"tcp","aci","Application Communication Interface"
187,17,"udp","aci","Application Communication Interface"
188,6,"tcp","mumps","Plus Five's MUMPS"
188,17,"udp","mumps","Plus Five's MUMPS"
189,6,"tcp","qft","Queued File Transport"
189,17,"udp","qft","Queued File Transport"
190,6,"tcp","gacp","Gateway Access Control Protocol"
190,17,"udp","gacp","Gateway Access Control Protocol"
191,6,"tcp","prospero","Prospero Directory Service"
191,17,"udp","prospero","Prospero Directory Service"
192,6,"tcp","osu-nms","OSU Network Monitoring System"
192,17,"udp","osu-nms","OSU Network Monitoring System"
193,6,"tcp","srmp","Spider Remote Monitoring Protocol"
193,17,"udp","srmp","Spider Remote Monitoring Protocol"
194,6,"tcp","irc","Internet Relay Chat Protocol"
194,17,"udp","irc","Internet Relay Chat Protocol"
195,6,"tcp","dn6-nlm-aud","DNSIX Network Level Module Audit"
195,17,"udp","dn6-nlm-aud","DNSIX Network Level Module Audit"
196,6,"tcp","dn6-smm-red","DNSIX Session Mgt Module Audit Redir"
196,17,"udp","dn6-smm-red","DNSIX Session Mgt Module Audit Redir"
197,6,"tcp","dls","Directory Location Service"
197,17,"udp","dls","Directory Location Service"
198,6,"tcp","dls-mon","Directory Location Service Monitor"
198,17,"udp","dls-mon","Directory Location Service Monitor"
199,6,"tcp","smux","SMUX"
199,17,"udp","smux","SMUX"
200,6,"tcp","src","IBM System Resource Controller"
200,17,"udp","src","IBM System Resource Controller"
201,6,"tcp","at-rtmp","AppleTalk Routing Maintenance"
201,17,"udp","at-rtmp","AppleTalk Routing Maintenance"
202,6,"tcp","at-nbp","AppleTalk Name Binding"
202,17,"udp","at-nbp","AppleTalk Name Binding"
203,6,"tcp","at-3","AppleTalk Unused"
203,17,"udp","at-3","AppleTalk Unused"
204,6,"tcp","at-echo","AppleTalk Echo"
204,17,"udp","at-echo","AppleTalk Echo"
205,6,"tcp","at-5","AppleTalk Unused"
205,17,"udp","at-5","AppleTalk Unused"
206,6,"tcp","at-zis","AppleTalk Zone Information"
206,17,"udp","at-zis","AppleTalk Zone Information"
207,6,"tcp","at-7","AppleTalk Unused"
207,17,"udp","at-7","AppleTalk Unused"
208,6,"tcp","at-8","AppleTalk Unused"
208,17,"udp","at-8","AppleTalk Unused"
209,6,"tcp","qmtp","The Quick Mail Transfer Protocol"
209,17,"udp","qmtp","The Quick Mail Transfer Protocol"
210,6,"tcp","z39-50","ANSI Z39.50
IANA assigned this well-formed service name as a replacement for ""z39.50""."
210,6,"tcp","z39.50","ANSI Z39.50"
210,17,"udp","z39-50","ANSI Z39.50
IANA assigned this well-formed service name as a replacement for ""z39.50""."
210,17,"udp","z39.50","ANSI Z39.50"
211,6,"tcp","914c-g","Texas Instruments 914C/G Terminal
IANA assigned this well-formed service name as a replacement for ""914c/g""."
211,6,"tcp","914c/g","Texas Instruments 914C/G Terminal"
211,17,"udp","914c-g","Texas Instruments 914C/G Terminal
IANA assigned this well-formed service name as a replacement for ""914c/g""."
211,17,"udp","914c/g","Texas Instruments 914C/G Terminal"
212,6,"tcp","anet","ATEXSSTR"
212,17,"udp","anet","ATEXSSTR"
213,6,"tcp","ipx","IPX"
213,17,"udp","ipx","IPX"
214,6,"tcp","vmpwscs","VM PWSCS"
214,17,"udp","vmpwscs","VM PWSCS"
215,6,"tcp","softpc","Insignia Solutions"
215,17,"udp","softpc","Insignia Solutions"
216,6,"tcp","CAIlic","Computer Associates Int'l License Server"
216,17,"udp","CAIlic","Computer Associates Int'l License Server"
217,6,"tcp","dbase","dBASE Unix"
217,17,"udp","dbase","dBASE Unix"
218,6,"tcp","mpp","Netix Message Posting Protocol"
218,17,"udp","mpp","Netix Message Posting Protocol"
219,6,"tcp","uarps","Unisys ARPs"
219,17,"udp","uarps","Unisys ARPs"
220,6,"tcp","imap3","Interactive Mail Access Protocol v3"
220,17,"udp","imap3","Interactive Mail Access Protocol v3"
221,6,"tcp","fln-spx","Berkeley rlogind with SPX auth"
221,17,"udp","fln-spx","Berkeley rlogind with SPX auth"
222,6,"tcp","rsh-spx","Berkeley rshd with SPX auth"
222,17,"udp","rsh-spx","Berkeley rshd with SPX auth"
223,6,"tcp","cdc","Certificate Distribution Center"
223,17,"udp","cdc","Certificate Distribution Center"
224,6,"tcp","masqdialer","masqdialer"
224,17,"udp","masqdialer","masqdialer"
242,6,"tcp","direct","Direct"
242,17,"udp","direct","Direct"
243,6,"tcp","sur-meas","Survey Measurement"
243,17,"udp","sur-meas","Survey Measurement"
244,6,"tcp","inbusiness","inbusiness"
244,17,"udp","inbusiness","inbusiness"
245,6,"tcp","link","LINK"
245,17,"udp","link","LINK"
246,6,"tcp","dsp3270","Display Systems Protocol"
246,17,"udp","dsp3270","Display Systems Protocol"
247,6,"tcp","subntbcst-tftp","SUBNTBCST_TFTP
IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp""."
247,6,"tcp","subntbcst_tftp","SUBNTBCST_TFTP"
247,17,"udp","subntbcst-tftp","SUBNTBCST_TFTP
IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp""."
247,17,"udp","subntbcst_tftp","SUBNTBCST_TFTP"
248,6,"tcp","bhfhs","bhfhs"
248,17,"udp","bhfhs","bhfhs"
256,6,"tcp","rap","RAP"
256,17,"udp","rap","RAP"
257,6,"tcp","set","Secure Electronic Transaction"
257,17,"udp","set","Secure Electronic Transaction"
259,6,"tcp","esro-gen","Efficient Short Remote Operations"
259,17,"udp","esro-gen","Efficient Short Remote Operations"
260,6,"tcp","openport","Openport"
260,17,"udp","openport","Openport"
261,6,"tcp","nsiiops","IIOP Name Service over TLS/SSL"
261,17,"udp","nsiiops","IIOP Name Service over TLS/SSL"
262,6,"tcp","arcisdms","Arcisdms"
262,17,"udp","arcisdms","Arcisdms"
263,6,"tcp","hdap","HDAP"
263,17,"udp","hdap","HDAP"
264,6,"tcp","bgmp","BGMP"
264,17,"udp","bgmp","BGMP"
265,6,"tcp","x-bone-ctl","X-Bone CTL"
265,17,"udp","x-bone-ctl","X-Bone CTL"
266,6,"tcp","sst","SCSI on ST"
266,17,"udp","sst","SCSI on ST"
267,6,"tcp","td-service","Tobit David Service Layer"
267,17,"udp","td-service","Tobit David Service Layer"
268,6,"tcp","td-replica","Tobit David Replica"
268,17,"udp","td-replica","Tobit David Replica"
269,6,"tcp","manet","MANET Protocols"
269,17,"udp","manet","MANET Protocols"
270,17,"udp","gist","Q-mode encapsulation for GIST messages"
271,6,"tcp","pt-tls","IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS)"
280,6,"tcp","http-mgmt","http-mgmt"
280,17,"udp","http-mgmt","http-mgmt"
281,6,"tcp","personal-link","Personal Link"
281,17,"udp","personal-link","Personal Link"
282,6,"tcp","cableport-ax","Cable Port A/X"
282,17,"udp","cableport-ax","Cable Port A/X"
283,6,"tcp","rescap","rescap"
283,17,"udp","rescap","rescap"
284,6,"tcp","corerjd","corerjd"
284,17,"udp","corerjd","corerjd"
286,6,"tcp","fxp","FXP Communication"
286,17,"udp","fxp","FXP Communication"
287,6,"tcp","k-block","K-BLOCK"
287,17,"udp","k-block","K-BLOCK"
308,6,"tcp","novastorbakcup","Novastor Backup"
308,17,"udp","novastorbakcup","Novastor Backup"
309,6,"tcp","entrusttime","EntrustTime"
309,17,"udp","entrusttime","EntrustTime"
310,6,"tcp","bhmds","bhmds"
310,17,"udp","bhmds","bhmds"
311,6,"tcp","asip-webadmin","AppleShare IP WebAdmin"
311,17,"udp","asip-webadmin","AppleShare IP WebAdmin"
312,6,"tcp","vslmp","VSLMP"
312,17,"udp","vslmp","VSLMP"
313,6,"tcp","magenta-logic","Magenta Logic"
313,17,"udp","magenta-logic","Magenta Logic"
314,6,"tcp","opalis-robot","Opalis Robot"
314,17,"udp","opalis-robot","Opalis Robot"
315,6,"tcp","dpsi","DPSI"
315,17,"udp","dpsi","DPSI"
316,6,"tcp","decauth","decAuth"
316,17,"udp","decauth","decAuth"
317,6,"tcp","zannet","Zannet"
317,17,"udp","zannet","Zannet"
318,6,"tcp","pkix-timestamp","PKIX TimeStamp"
318,17,"udp","pkix-timestamp","PKIX TimeStamp"
319,6,"tcp","ptp-event","PTP Event"
319,17,"udp","ptp-event","PTP Event"
320,6,"tcp","ptp-general","PTP General"
320,17,"udp","ptp-general","PTP General"
321,6,"tcp","pip","PIP"
321,17,"udp","pip","PIP"
322,6,"tcp","rtsps","RTSPS"
322,17,"udp","rtsps","RTSPS"
323,6,"tcp","rpki-rtr","Resource PKI to Router Protocol"
324,6,"tcp","rpki-rtr-tls","Resource PKI to Router Protocol over TLS"
333,6,"tcp","texar","Texar Security Port"
333,17,"udp","texar","Texar Security Port"
344,6,"tcp","pdap","Prospero Data Access Protocol"
344,17,"udp","pdap","Prospero Data Access Protocol"
345,6,"tcp","pawserv","Perf Analysis Workbench"
345,17,"udp","pawserv","Perf Analysis Workbench"
346,6,"tcp","zserv","Zebra server"
346,17,"udp","zserv","Zebra server"
347,6,"tcp","fatserv","Fatmen Server"
347,17,"udp","fatserv","Fatmen Server"
348,6,"tcp","csi-sgwp","Cabletron Management Protocol"
348,17,"udp","csi-sgwp","Cabletron Management Protocol"
349,6,"tcp","mftp","mftp"
349,17,"udp","mftp","mftp"
350,6,"tcp","matip-type-a","MATIP Type A"
350,17,"udp","matip-type-a","MATIP Type A"
351,6,"tcp","matip-type-b","MATIP Type B"
351,17,"udp","matip-type-b","MATIP Type B"
351,6,"tcp","bhoetty","bhoetty"
351,17,"udp","bhoetty","bhoetty"
352,6,"tcp","dtag-ste-sb","DTAG"
352,17,"udp","dtag-ste-sb","DTAG"
352,6,"tcp","bhoedap4","bhoedap4"
352,17,"udp","bhoedap4","bhoedap4"
353,6,"tcp","ndsauth","NDSAUTH"
353,17,"udp","ndsauth","NDSAUTH"
354,6,"tcp","bh611","bh611"
354,17,"udp","bh611","bh611"
355,6,"tcp","datex-asn","DATEX-ASN"
355,17,"udp","datex-asn","DATEX-ASN"
356,6,"tcp","cloanto-net-1","Cloanto Net 1"
356,17,"udp","cloanto-net-1","Cloanto Net 1"
357,6,"tcp","bhevent","bhevent"
357,17,"udp","bhevent","bhevent"
358,6,"tcp","shrinkwrap","Shrinkwrap"
358,17,"udp","shrinkwrap","Shrinkwrap"
359,6,"tcp","nsrmp","Network Security Risk Management Protocol"
359,17,"udp","nsrmp","Network Security Risk Management Protocol"
360,6,"tcp","scoi2odialog","scoi2odialog"
360,17,"udp","scoi2odialog","scoi2odialog"
361,6,"tcp","semantix","Semantix"
361,17,"udp","semantix","Semantix"
362,6,"tcp","srssend","SRS Send"
362,17,"udp","srssend","SRS Send"
363,6,"tcp","rsvp-tunnel","RSVP Tunnel
IANA assigned this well-formed service name as a replacement for ""rsvp_tunnel""."
363,6,"tcp","rsvp_tunnel","RSVP Tunnel"
